TOWNSHIP_RANGE,YEAR,GSE_GWE
T04S R06E,2019,144.8113913043478
T04S R06E,2020,142.3528
T04S R06E,2021,116.0464705882353
T04S R07E,2014,57.092999999999996
T04S R07E,2015,58.29
T04S R07E,2016,85.55375
T04S R07E,2017,67.35894736842106
T04S R07E,2018,93.03500000000001
T04S R07E,2019,83.52083333333333
T04S R07E,2020,68.32658333333333
T04S R07E,2021,90.72666666666666
T04S R08E,2014,21.974999999999998
T04S R08E,2015,24.400833333333335
T04S R08E,2016,24.097692307692306
T04S R08E,2017,21.263571428571428
T04S R08E,2018,20.85076923076923
T04S R08E,2019,21.4425
T04S R08E,2020,23.206363636363633
T04S R08E,2021,22.04888888888889
T04S R09E,2014,29.40526315789474
T04S R09E,2015,31.705000000000002
T04S R09E,2016,36.29947368421053
T04S R09E,2017,33.2385
T04S R09E,2018,33.489999999999995
T04S R09E,2019,33.28058823529412
T04S R09E,2020,38.79363636363637
T04S R09E,2021,31.41588235294117
T04S R10E,2014,55.07058823529412
T04S R10E,2015,57.02333333333333
T04S R10E,2016,60.93333333333333
T04S R10E,2017,56.54611111111112
T04S R10E,2018,60.11333333333333
T04S R10E,2019,56.943125
T04S R10E,2020,69.6723076923077
T04S R10E,2021,61.52882352941177
T04S R11E,2014,139.11592592592592
T04S R11E,2015,140.9335
T04S R11E,2016,148.342
T04S R11E,2017,151.38962962962964
T04S R11E,2018,159.86253846153846
T04S R11E,2019,159.14104
T04S R11E,2020,152.78108333333333
T04S R11E,2021,134.9380625
T04S R12E,2014,201.61489361702127
T04S R12E,2015,212.53902439024392
T04S R12E,2016,212.82380952380953
T04S R12E,2017,209.0625
T04S R12E,2018,219.29999999999998
T04S R12E,2019,220.6375
T04S R12E,2020,207.95108695652175
T04S R12E,2021,235.75083333333336
T04S R13E,2014,199.43
T04S R13E,2015,209.19
T04S R13E,2016,202.3
T04S R13E,2017,197.4
T04S R13E,2018,191.58692307692309
T04S R13E,2019,222.04444444444445
T04S R13E,2020,167.37666666666667
T04S R13E,2021,173.89333333333332
T04S R14E,2014,225.45
T04S R14E,2015,161.801
T04S R14E,2016,152.76100000000002
T04S R14E,2017,152.48
T04S R14E,2018,140.04333333333332
T04S R14E,2019,179.4
T04S R14E,2020,120.21
T04S R14E,2021,124.72500000000001
T04S R15E,2014,176.63333333333333
T04S R15E,2015,161.801
T04S R15E,2016,152.76100000000002
T04S R15E,2017,152.48
T04S R15E,2018,140.04333333333332
T04S R15E,2019,125.75
T04S R15E,2020,178.36
T04S R15E,2021,180.05
T05N R04E,2014,5.975862068965518
T05N R04E,2015,17.35
T05N R04E,2016,16.080000000000002
T05N R04E,2017,9.25
T05N R04E,2018,1.7
T05N R04E,2019,5.35
T05N R04E,2020,11.8
T05N R04E,2021,6.6
T05N R05E,2014,16.159000000000002
T05N R05E,2015,33.09863636363636
T05N R05E,2016,40.623333333333335
T05N R05E,2017,29.125
T05N R05E,2018,13.736666666666666
T05N R05E,2019,10.506666666666668
T05N R05E,2020,18.761666666666667
T05N R05E,2021,18.114285714285714
T05N R06E,2014,83.95239130434783
T05N R06E,2015,87.01622222222223
T05N R06E,2016,84.16267857142857
T05N R06E,2017,86.23677419354838
T05N R06E,2018,66.299
T05N R06E,2019,60.593333333333334
T05N R06E,2020,62.76157894736842
T05N R06E,2021,70.365
T05N R07E,2014,138.40769230769232
T05N R07E,2015,142.75652173913045
T05N R07E,2016,143.58076923076922
T05N R07E,2017,141.81764705882352
T05N R07E,2018,123.53529411764706
T05N R07E,2019,123.57692307692308
T05N R07E,2020,123.03076923076924
T05N R07E,2021,129.25
T05N R08E,2014,146.8457142857143
T05N R08E,2015,135.41823529411766
T05N R08E,2016,140.1164705882353
T05N R08E,2017,141.17333333333332
T05N R08E,2018,140.9078947368421
T05N R08E,2019,140.79500000000002
T05N R08E,2020,136.82
T05N R08E,2021,145.57563636363636
T05N R09E,2014,87.60571428571428
T05N R09E,2015,77.19421052631579
T05N R09E,2016,79.75533333333333
T05N R09E,2017,73.34909090909092
T05N R09E,2018,70.65307692307692
T05N R09E,2019,54.728333333333325
T05N R09E,2020,54.144000000000005
T05N R09E,2021,83.1544
T05N R10E,2014,64.2475
T05N R10E,2015,69.52181818181818
T05N R10E,2016,77.59333333333333
T05N R10E,2017,64.66714285714285
T05N R10E,2018,64.865
T05N R10E,2019,51.40857142857143
T05N R10E,2020,20.650000000000002
T05N R10E,2021,37.65
T05S R06E,2014,153.265
T05S R06E,2015,164.1
T05S R06E,2016,178.135
T05S R06E,2017,166.41199999999998
T05S R06E,2018,168.49714285714285
T05S R06E,2019,174.04777777777778
T05S R06E,2020,163.84333333333333
T05S R06E,2021,176.44375
T05S R07E,2014,93.84272727272727
T05S R07E,2015,98.116
T05S R07E,2016,129.984
T05S R07E,2017,129.3036842105263
T05S R07E,2018,132.4651851851852
T05S R07E,2019,130.12441176470588
T05S R07E,2020,97.77042857142858
T05S R07E,2021,113.14375
T05S R08E,2014,48.8275
T05S R08E,2015,55.2321052631579
T05S R08E,2016,48.304736842105264
T05S R08E,2017,43.31736842105263
T05S R08E,2018,50.177499999999995
T05S R08E,2019,40.76045454545454
T05S R08E,2020,46.03058823529412
T05S R08E,2021,48.72
T05S R09E,2014,18.806896551724137
T05S R09E,2015,19.52
T05S R09E,2016,19.69857142857143
T05S R09E,2017,14.192272727272728
T05S R09E,2018,15.15611111111111
T05S R09E,2019,12.286315789473685
T05S R09E,2020,15.76
T05S R09E,2021,16.150000000000002
T05S R10E,2014,23.765
T05S R10E,2015,30.79125
T05S R10E,2016,31.027894736842104
T05S R10E,2017,28.889
T05S R10E,2018,33.12555555555556
T05S R10E,2019,31.351052631578945
T05S R10E,2020,39.26555555555555
T05S R10E,2021,32.312
T05S R11E,2014,113.66896551724139
T05S R11E,2015,141.07923076923078
T05S R11E,2016,130.509
T05S R11E,2017,131.8112
T05S R11E,2018,133.83708333333334
T05S R11E,2019,138.04725
T05S R11E,2020,140.22595833333332
T05S R11E,2021,117.87076923076923
T05S R12E,2014,184.21698113207546
T05S R12E,2015,200.13777777777779
T05S R12E,2016,193.9981090909091
T05S R12E,2017,191.25686274509803
T05S R12E,2018,200.04259259259257
T05S R12E,2019,195.32771666666667
T05S R12E,2020,176.39876086956522
T05S R12E,2021,194.53176470588235
T05S R13E,2014,150.97166666666666
T05S R13E,2015,171.040875
T05S R13E,2016,165.8827
T05S R13E,2017,166.25
T05S R13E,2018,174.2176923076923
T05S R13E,2019,187.63636363636363
T05S R13E,2020,171.86217391304348
T05S R13E,2021,182.99625
T05S R14E,2014,109.29333333333334
T05S R14E,2015,110.80942857142857
T05S R14E,2016,109.75942857142857
T05S R14E,2017,111.53571428571429
T05S R14E,2018,110.0425
T05S R14E,2019,166.25
T05S R14E,2020,166.48625
T05S R14E,2021,155.035
T05S R15E,2014,157.0
T05S R15E,2015,80.2025
T05S R15E,2016,92.4525
T05S R15E,2017,91.35
T05S R15E,2018,119.946
T05S R15E,2019,113.5
T05S R15E,2020,119.72000000000001
T05S R15E,2021,122.21666666666665
T06N R06E,2014,83.2454
T06N R06E,2015,81.03742857142856
T06N R06E,2016,81.157
T06N R06E,2017,78.90526315789474
T06N R06E,2018,117.2885294117647
T06N R06E,2019,119.74642857142858
T06N R06E,2020,107.41045454545456
T06N R06E,2021,113.7316
T06N R07E,2014,133.36499999999998
T06N R07E,2015,144.87809523809523
T06N R07E,2016,139.19489795918366
T06N R07E,2017,147.3971875
T06N R07E,2018,142.22842105263157
T06N R07E,2019,142.60451612903225
T06N R07E,2020,138.29
T06N R07E,2021,145.08241379310346
T06N R08E,2014,138.20000000000002
T06N R08E,2015,127.65681818181817
T06N R08E,2016,127.93333333333332
T06N R08E,2017,127.52714285714285
T06N R08E,2018,129.86125
T06N R08E,2019,131.4128125
T06N R08E,2020,118.225
T06N R08E,2021,135.38942857142857
T06N R09E,2014,89.85222222222222
T06N R09E,2015,42.725
T06N R09E,2016,50.91375
T06N R09E,2017,40.136
T06N R09E,2018,44.61
T06N R09E,2019,37.9925
T06N R09E,2020,17.099999999999998
T06N R09E,2021,43.400400000000005
T06N R10E,2014,56.49
T06N R10E,2015,24.7425
T06N R10E,2016,29.176666666666666
T06N R10E,2017,16.6
T06N R10E,2018,27.136666666666667
T06N R10E,2019,26.456666666666663
T06N R10E,2020,20.650000000000002
T06N R10E,2021,45.215
T06S R07E,2014,122.35142857142857
T06S R07E,2015,101.30499999999999
T06S R07E,2016,176.885
T06S R07E,2017,141.06333333333333
T06S R07E,2018,149.847
T06S R07E,2019,137.82
